name,city,state,phone,email,url,website,buy_link,type,notes,source,source_url,prices,products
Haven Fibers,,UT,(406) 381-3450,,http://www.wildredclover.com/,http://www.wildredclover.com/,http://www.wildredclover.com/,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Carding; Spinning; Felting; Weaving; Combing
The Shepherd’s Studio,Third StPhillipsburg,KS,785-543-3128,,http://www.TheShepherdsStudio.com,http://www.TheShepherdsStudio.com,http://www.TheShepherdsStudio.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Weaving
Bedfellows Blankets,Martin RdShelburne Falls,MA,413-625-2730,,http://www.blanketweave.com,http://www.blanketweave.com,http://www.blanketweave.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Weaving
"New Liberty Wool Pellets, LLC",Robert AndrewsMack,CO,(970) 260-2130,,http://www.Newlibertywoolpellets.com,http://www.Newlibertywoolpellets.com,http://www.Newlibertywoolpellets.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Yarn; Roving
Kestrel Ridge Pellet Company,Megan Landes-MurphyLawrence,NE,(715) 931-8469,,http://www.krpelletco.com,http://www.krpelletco.com,http://www.krpelletco.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Small & midsize mills
Otter Lake Farm & Fiber,Kate PelkeyWeedsport,NY,(315) 480-1940,,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Yarn
Wild Valley Farms,,UT,435-400-4373,,http://www.Wildvalleyfarms.com,http://www.Wildvalleyfarms.com,http://www.Wildvalleyfarms.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Small & midsize mills
"Woollets, LLC",Horner LaneArgyle,WI,608-223-3603,,http://www.Woollets.net,http://www.Woollets.net,http://www.Woollets.net,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Small & midsize mills
Coyote Trail Farm & Fiber Mill,,AK,,,https://www.coyotetrailfarmandfibermill.com/,https://www.coyotetrailfarmandfibermill.com/,https://www.coyotetrailfarmandfibermill.com/,wool_mill,Wool and Fiber Arts: AK,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
"Mendocino Wool and Fiber, Inc.",,CA,,,https://www.mendowool.com/,https://www.mendowool.com/,https://www.mendowool.com/,wool_mill,Wool and Fiber Arts: CA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Macedo's Mini Acre,,CA,,,http://www.macedosminiacres.com/,http://www.macedosminiacres.com/,http://www.macedosminiacres.com/,wool_mill,Wool and Fiber Arts: CA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn
Morro Fleeceworks,,CA,,,http://www.morrofleeceworks.com/,http://www.morrofleeceworks.com/,http://www.morrofleeceworks.com/,wool_mill,Wool and Fiber Arts: CA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Fleece Factory of the Rockies,,CO,,,http://www.thefleecefactoryoftherockies.com/,http://www.thefleecefactoryoftherockies.com/,http://www.thefleecefactoryoftherockies.com/,wool_mill,Wool and Fiber Arts: CO,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Willow Creek Fiber Mill,,CO,,,http://www.willowcreekfibermill.co/,http://www.willowcreekfibermill.co/,http://www.willowcreekfibermill.co/,wool_mill,Wool and Fiber Arts: CO,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
yampa valley fiber mill,,CO,,,https://www.yampavalleyfiberworks.com/,https://www.yampavalleyfiberworks.com/,https://www.yampavalleyfiberworks.com/,wool_mill,Wool and Fiber Arts: CO,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Six Paca Farm And Mill,,CT,,,http://www.sixpaca.com/,http://www.sixpaca.com/,http://www.sixpaca.com/,wool_mill,Wool and Fiber Arts: CT,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Twist of Fate Spinnery,,CT,,,http://www.twistoffatespinnery.biz/,http://www.twistoffatespinnery.biz/,http://www.twistoffatespinnery.biz/,wool_mill,Wool and Fiber Arts: CT,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Spinning; Felting
Spirit Fiber Works,,GA,,,https://www.spiritfiberworks.com/,https://www.spiritfiberworks.com/,https://www.spiritfiberworks.com/,wool_mill,Wool and Fiber Arts: GA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
I Make Yarn,,ID,,,http://www.imakeyarn.com/,http://www.imakeyarn.com/,http://www.imakeyarn.com/,wool_mill,Wool and Fiber Arts: ID,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Alpaca Pines Llc Farm and Fiber,,IL,,,http://www.alpacapines.com/,http://www.alpacapines.com/,http://www.alpacapines.com/,wool_mill,Wool and Fiber Arts: IL,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Illinois Wool & Fiber Mill,,IL,,,https://ilwoolfibermill.com/,https://ilwoolfibermill.com/,https://ilwoolfibermill.com/,wool_mill,Wool and Fiber Arts: IL,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Round Barn Fiber Mill,,IL,,,https://www.roundbarnfiber.com/,https://www.roundbarnfiber.com/,https://www.roundbarnfiber.com/,wool_mill,Wool and Fiber Arts: IL,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn; Roving
Red Hill Fiber Mill,,IN,,,http://www.redhillfiber.com/,http://www.redhillfiber.com/,http://www.redhillfiber.com/,wool_mill,Wool and Fiber Arts: IN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Three Points Fiber Mill,,IN,,,https://threepointsfibermill.com/,https://threepointsfibermill.com/,https://threepointsfibermill.com/,wool_mill,Wool and Fiber Arts: IN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
C&M Acres Fiber Mill & Alpacas,,IA,,,http://www.cmacres.com/,http://www.cmacres.com/,http://www.cmacres.com/,wool_mill,Wool and Fiber Arts: IA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn
R & K Fiber Mill,,IA,,,https://rksalpacafarm.myopenherdwebsite.com/product/30999/randks-alpaca-boutique-and-fiber-mill,https://rksalpacafarm.myopenherdwebsite.com/product/30999/randks-alpaca-boutique-and-fiber-mill,https://rksalpacafarm.myopenherdwebsite.com/product/30999/randks-alpaca-boutique-and-fiber-mill,wool_mill,Wool and Fiber Arts: IA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
"HLA Fiber Mill, LLC",,KS,,,http://hlafibermill.com/,http://hlafibermill.com/,http://hlafibermill.com/,wool_mill,Wool and Fiber Arts: KS,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Edwards Woolworks Fiber Mill,,KY,,,https://www.edwardswoolworks.com/,https://www.edwardswoolworks.com/,https://www.edwardswoolworks.com/,wool_mill,Wool and Fiber Arts: KY,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Bartlett Yarns,,ME,,,https://bartlettyarns.com/,https://bartlettyarns.com/,https://bartlettyarns.com/,wool_mill,Wool and Fiber Arts: ME,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Moorit Hill Farm and Fiber,,ME,,,http://www.moorithillfarm.com/,http://www.moorithillfarm.com/,http://www.moorithillfarm.com/,wool_mill,Wool and Fiber Arts: ME,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Underhill Fibers -Jenny Smith,,ME,,,http://www.underhillfibers.com/,http://www.underhillfibers.com/,http://www.underhillfibers.com/,wool_mill,Wool and Fiber Arts: ME,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Twisted Fiber Spinnery,,MA,,,http://www.twistedfiberspinnery.com/,http://www.twistedfiberspinnery.com/,http://www.twistedfiberspinnery.com/,wool_mill,Wool and Fiber Arts: MA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Alpaca Fleece Mill,,MI,,,https://alpacafleecemill.com/home,https://alpacafleecemill.com/home,https://alpacafleecemill.com/home,wool_mill,Wool and Fiber Arts: MI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Grand Alpaca Company Farm & Fiber Mill,,MI,,,http://www.grandalpaca.com/,http://www.grandalpaca.com/,http://www.grandalpaca.com/,wool_mill,Wool and Fiber Arts: MI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Hoof to Hanger,,MI,,,https://www.hooftohanger.com/,https://www.hooftohanger.com/,https://www.hooftohanger.com/,wool_mill,Wool and Fiber Arts: MI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Stonehenge Fiber Mill,,MI,,,https://www.stonehedgefibermill.com/processing-services/carding/,https://www.stonehedgefibermill.com/processing-services/carding/,https://www.stonehedgefibermill.com/processing-services/carding/,wool_mill,Wool and Fiber Arts: MI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
"Windy Acres Fiber Mill, LLC",,MI,,,http://www.windyacresfibermill.com/,http://www.windyacresfibermill.com/,http://www.windyacresfibermill.com/,wool_mill,Wool and Fiber Arts: MI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Zeilinger Wool Company,,MI,,,http://www.zwool.com/,http://www.zwool.com/,http://www.zwool.com/,wool_mill,Wool and Fiber Arts: MI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Beautiful World Mn,,MN,,,http://www.beautifulworldmn.com/,http://www.beautifulworldmn.com/,http://www.beautifulworldmn.com/,wool_mill,Wool and Fiber Arts: MN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
Get Bentz Farm,,MN,,,https://getbentzfarm.com/home,https://getbentzfarm.com/home,https://getbentzfarm.com/home,wool_mill,Wool and Fiber Arts: MN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn; Roving
Grumpelstilskin's Fiber Mill,,MN,,,https://grumpelstiltskinsfibermill.com/,https://grumpelstiltskinsfibermill.com/,https://grumpelstiltskinsfibermill.com/,wool_mill,Wool and Fiber Arts: MN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn; Roving
Ranch Al-paca Fiber Processing,,MN,,,http://www.rachalpacafiber.com/,http://www.rachalpacafiber.com/,http://www.rachalpacafiber.com/,wool_mill,Wool and Fiber Arts: MN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
The Fiber Mill,,NE,,,http://www.thefibermill.com/,http://www.thefibermill.com/,http://www.thefibermill.com/,wool_mill,Wool and Fiber Arts: NE,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Sallie's Fen FIber Mill,,NH,,,http://www.sfalpacas.com/,http://www.sfalpacas.com/,http://www.sfalpacas.com/,wool_mill,Wool and Fiber Arts: NH,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Autumn Mist Alpaca Mill,,NY,,,http://autumnmistalpacafarm.com/,http://autumnmistalpacafarm.com/,http://autumnmistalpacafarm.com/,wool_mill,Wool and Fiber Arts: NY,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn; Roving
Battenkill Fiber Mill,,NY,,,https://battenkillfibers.com/,https://battenkillfibers.com/,https://battenkillfibers.com/,wool_mill,Wool and Fiber Arts: NY,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Nobletown Fiber Works,,NY,,,https://nobletownfiberworks.com/,https://nobletownfiberworks.com/,https://nobletownfiberworks.com/,wool_mill,Wool and Fiber Arts: NY,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn; Roving
Shepherd’s Gate Fiber Mill,,NC,,,http://shepherdsgatefibermill.com/,http://shepherdsgatefibermill.com/,http://shepherdsgatefibermill.com/,wool_mill,Wool and Fiber Arts: NC,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Dakota Fiber Mill,,ND,,,https://www.nomeschoolhouse.com/,https://www.nomeschoolhouse.com/,https://www.nomeschoolhouse.com/,wool_mill,Wool and Fiber Arts: ND,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Yarn Factory LLC,,ND,,,http://yarnfactoryllc.com/,http://yarnfactoryllc.com/,http://yarnfactoryllc.com/,wool_mill,Wool and Fiber Arts: ND,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
America's Natural Fiberworks,,OH,,,https://www.americasnaturalfiberworks.com/,https://www.americasnaturalfiberworks.com/,https://www.americasnaturalfiberworks.com/,wool_mill,Wool and Fiber Arts: OH,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Prospect Specialty Fiber Mill LLC,,OH,,,http://www.prospectspecialtyfibermill.com/,http://www.prospectspecialtyfibermill.com/,http://www.prospectspecialtyfibermill.com/,wool_mill,Wool and Fiber Arts: OH,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Oklahoma Mini Mill,,OK,,,http://www.oklahomaminimill.com/,http://www.oklahomaminimill.com/,http://www.oklahomaminimill.com/,wool_mill,Wool and Fiber Arts: OK,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
Roger Family Farm & Fiber Mill,,OR,,,http://www.rodgerfamilyfarm.com/,http://www.rodgerfamilyfarm.com/,http://www.rodgerfamilyfarm.com/,wool_mill,Wool and Fiber Arts: OR,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Blue Mountain Farms,,PA,,,http://bluemountainfarms.net/,http://bluemountainfarms.net/,http://bluemountainfarms.net/,wool_mill,Wool and Fiber Arts: PA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Gurdy Run Woolen Mill,,PA,,,https://www.gurdyrun.com/,https://www.gurdyrun.com/,https://www.gurdyrun.com/,wool_mill,Wool and Fiber Arts: PA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Lazy Meadows Alpacas Mill & Shop,,PA,,,https://www.lazymeadowsalpacas.com/,https://www.lazymeadowsalpacas.com/,https://www.lazymeadowsalpacas.com/,wool_mill,Wool and Fiber Arts: PA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Sterling Wool Mill,,PA,,,http://www.sterlingwoolmill.com/,http://www.sterlingwoolmill.com/,http://www.sterlingwoolmill.com/,wool_mill,Wool and Fiber Arts: PA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
"J&E Homestead, LLC",,SC,,,http://www.je-homestead.com/,http://www.je-homestead.com/,http://www.je-homestead.com/,wool_mill,Wool and Fiber Arts: SC,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Makers Way Fiber Mill,,SD,,,http://www.makerswayfibermill.com/,http://www.makerswayfibermill.com/,http://www.makerswayfibermill.com/,wool_mill,Wool and Fiber Arts: SD,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Mesa Trail Alpacas,,TN,,,http://www.mesatrailalpacas.com/,http://www.mesatrailalpacas.com/,http://www.mesatrailalpacas.com/,wool_mill,Wool and Fiber Arts: TN,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Independence Wool & Mohair,,TX,,,https://independencewool.com/,https://independencewool.com/,https://independencewool.com/,wool_mill,Wool and Fiber Arts: TX,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Wandering Gypsy Fiber Mill,,TX,,,https://www.facebook.com/profile.php?id=100087370604304,https://www.facebook.com/profile.php?id=100087370604304,https://www.facebook.com/profile.php?id=100087370604304,wool_mill,Wool and Fiber Arts: TX,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
Winterstrom Ranch Fiber Mill,,TX,,,http://www.winterstromranch.com/,http://www.winterstromranch.com/,http://www.winterstromranch.com/,wool_mill,Wool and Fiber Arts: TX,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Yarn; Roving
Junction Fiber Mill,,VT,,,https://thewoollythistle.com/collections/junction-fiber-mill,https://thewoollythistle.com/collections/junction-fiber-mill,https://thewoollythistle.com/collections/junction-fiber-mill,wool_mill,Wool and Fiber Arts: VT,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Kingdom Fleece & Fiberworks,,VT,,,http://www.kingdomfleeceandfiberworks.net/,http://www.kingdomfleeceandfiberworks.net/,http://www.kingdomfleeceandfiberworks.net/,wool_mill,Wool and Fiber Arts: VT,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Abundant Earth Fiber,,WA,,,https://abundantearthfiber.com/,https://abundantearthfiber.com/,https://abundantearthfiber.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Dawns Custom Carding,,WA,,,http://www.dawns-custom-carding.com/,http://www.dawns-custom-carding.com/,http://www.dawns-custom-carding.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Evergreen Fleece Processing,,WA,,,http://www.evergreenfleeceprocessing.com/,http://www.evergreenfleeceprocessing.com/,http://www.evergreenfleeceprocessing.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
ME2 Custom Fiber Processing FARM,,WA,,,http://me2farm.com/,http://me2farm.com/,http://me2farm.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
Ohana Fiber Mill,,WA,,,http://ohanafibermill.com/,http://ohanafibermill.com/,http://ohanafibermill.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Olympic Yarn and Fiber Mill,,WA,,,https://www.olympicyarnandfiber.com/,https://www.olympicyarnandfiber.com/,https://www.olympicyarnandfiber.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn
Skagit Woolen Works,,WA,,,http://skagitwoolen.com/,http://skagitwoolen.com/,http://skagitwoolen.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Soundview Fiber Mill,,WA,,,https://soundviewfibermill.com/,https://soundviewfibermill.com/,https://soundviewfibermill.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Tahoma Vista Fiber Mill,,WA,,,https://www.tahomavistafibermill.com/,https://www.tahomavistafibermill.com/,https://www.tahomavistafibermill.com/,wool_mill,Wool and Fiber Arts: WA,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Head Spring Fiber Mill,,WV,,,http://www.headspringfibermill.com/,http://www.headspringfibermill.com/,http://www.headspringfibermill.com/,wool_mill,Wool and Fiber Arts: WV,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Blackberry Ridge Woolen Mill,,WI,,,http://www.blackberry-ridge.com/,http://www.blackberry-ridge.com/,http://www.blackberry-ridge.com/,wool_mill,Wool and Fiber Arts: WI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Courtney Woolen Mill,,WI,,,http://www.courtneywoolenmill.com/,http://www.courtneywoolenmill.com/,http://www.courtneywoolenmill.com/,wool_mill,Wool and Fiber Arts: WI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Fiber processing
Ewetopia Fiber,,WI,,,https://www.ewetopiafibershop.com/fiber-mill,https://www.ewetopiafibershop.com/fiber-mill,https://www.ewetopiafibershop.com/fiber-mill,wool_mill,Wool and Fiber Arts: WI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Yarn; Roving
Kurth Valley Fiber Mill,,WI,,,http://kurthvalleyfibermill.com/,http://kurthvalleyfibermill.com/,http://kurthvalleyfibermill.com/,wool_mill,Wool and Fiber Arts: WI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool
Shear Wool Fiber Mill LLC,,WI,,,http://shearwool.com/,http://shearwool.com/,http://shearwool.com/,wool_mill,Wool and Fiber Arts: WI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
Hidden Valley Farm and Woolen Mill,,WI,,,https://hiddenvalleyfarmwoolenmill.com/,https://hiddenvalleyfarmwoolenmill.com/,https://hiddenvalleyfarmwoolenmill.com/,wool_mill,Wool and Fiber Arts: WI,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Wool; Roving
